Time,APM5 CPU,APM5 Memory
6,46.5,8.6
12,47.5,8.6
18,47.8,8.6
24,46.2,8.6
31,46.7,8.6
37,47.0,8.6
43,47.2,0.0
49,41.5,0.0
55,37.0,0.0
61,33.3,0.0
66,30.8,0.0
72,27.8,0.0
78,26.0,0.0
84,24.2,0.0
89,22.8,0.0
94,21.6,0.0
100,20.5,0.0
105,19.3,0.0
110,18.5,0.0
115,17.6,0.0
121,16.8,0.0
127,16.0,0.0
133,16.3,8.7
139,17.4,8.7
146,18.5,8.7
152,19.4,8.7
159,20.3,8.7
165,21.2,8.7
171,20.9,0.0
177,20.2,0.0
183,19.5,0.0
188,19.0,0.0
194,18.5,0.0
199,18.0,0.0
204,17.5,0.0
209,17.1,0.0
214,16.7,0.0
220,16.3,0.0
225,15.9,0.0
230,15.5,0.0
236,15.1,0.0
242,14.8,0.0
248,15.1,8.7
255,15.8,8.7
261,16.5,8.7
267,17.0,8.7
274,17.6,8.7
280,18.2,8.7
286,18.7,8.7
292,18.6,0.0
297,18.3,0.0
303,18.0,0.0
308,17.6,0.0
313,17.3,0.0
318,17.1,0.0
323,16.8,0.0
329,16.5,0.0
334,16.2,0.0
340,15.9,0.0
346,15.7,0.0
352,15.8,9.2
358,16.2,9.2
365,16.7,9.2
371,17.1,9.2
378,17.6,9.2
384,17.5,0.0
390,17.2,0.0
396,17.0,0.0
401,16.7,0.0
407,16.5,0.0
412,16.3,0.0
417,16.1,0.0
423,15.9,0.0
428,15.7,0.0
433,15.5,0.0
438,15.3,0.0
443,15.1,0.0
449,14.9,0.0
455,14.7,0.0
461,14.6,0.0
466,14.5,6.6
473,14.9,6.6
479,15.2,6.6
486,15.5,6.6
492,15.8,6.6
498,15.9,0.0
504,15.7,0.0
510,15.5,0.0
516,15.3,0.0
521,15.2,0.0
526,15.1,0.0
531,14.9,0.0
537,14.8,0.0
542,14.6,0.0
547,14.5,0.0
553,14.3,0.0
559,14.2,0.0
565,14.0,0.0
571,13.9,0.0
577,13.7,0.0
583,13.7,6.2
589,14.0,6.2
596,14.3,6.2
602,14.6,6.2
609,14.9,6.2
615,15.5,6.2
621,16.1,6.2
627,16.3,0.0
632,16.1,0.0
637,16.0,0.0
643,15.9,0.0
649,15.7,0.0
655,15.6,0.0
661,15.4,0.0
667,15.3,0.0
673,15.1,0.0
679,15.0,0.0
684,14.9,0.0
690,14.8,0.0
696,14.8,8.7
703,15.2,8.7
709,15.7,8.7
714,16.3,8.7
720,16.8,8.7
726,17.4,8.7
732,17.9,8.7
738,18.1,0.0
744,17.9,0.0
749,17.8,0.0
755,17.7,0.0
761,17.5,0.0
767,17.4,0.0
773,17.3,0.0
779,17.1,0.0
785,17.0,0.0
791,16.9,0.0
796,16.7,0.0
802,16.6,0.0
808,16.5,0.0
813,16.4,0.0
819,16.8,8.3
825,17.3,8.3
831,17.7,8.3
837,18.2,8.3
843,18.4,8.3
849,18.3,0.0
856,18.2,0.0
862,18.1,0.0
868,17.9,0.0
875,17.8,0.0
881,17.7,0.0
887,17.5,0.0
894,17.4,0.0
900,17.3,0.0
